City,Tags,State,Old_age,Young_age,link 1,Avg Expense Per Day,historical & heritage,city,pilgrimage,hill station,beach,lake & backwater,adventure / trekking,wildlife,waterfall,nature & scenic,Image Link
Amaravathi,Pilgrimage | Nature & Scenic | City,Andhra Pradesh,1,1,https://www.holidify.com/places/amaravathi,,0,1,1,0,0,0,0,0,0,1,https://lh3.googleusercontent.com/proxy/J7zTEREyQ8OnpCu_Y3f9C8Guj7mOwUSwS1W-KK7aT3IaFiWnl3MoBeM8-VwVYQu0UyP6vZBW3wGJcsoYr5IDTfRA5_CF8u5XsNnb1vSQfi3ZmGg0otb0u1nWV5Gb6Ed0L4GmcPfGndihQjXA9g6VecZSrTkA34bKMwFJ6MM38CMEf1SemFySfgFicAYX-Q
Araku Valley,Hill Station,Andhra Pradesh,0,1,https://www.holidify.com/places/araku-valley,,0,0,0,1,0,0,0,0,0,0,https://www.sushanttravels.com/uploads/AbqWT6R_araku_valley_3.jpg
Ananthagiri Hills,Historical & Heritage | Nature & Scenic | Hill Station,Andhra Pradesh,0,1,https://www.holidify.com/places/ananthagiri-hills,,1,0,0,1,0,0,0,0,0,1,https://www.trawell.in/admin/images/upload/341453735Yaganti_VenkateswaraCave_Main.jpg
Vijayawada,Historical & Heritage | Nature & Scenic | Pilgrimage | City,Andhra Pradesh,1,1,https://www.holidify.com/places/vijayawada,,1,1,1,0,0,0,0,0,0,1,https://upload.wikimedia.org/wikipedia/commons/e/e1/Kanaka_Durga_Temple.jpg
Gandikota,Historical & Heritage | Nature & Scenic,Andhra Pradesh,1,1,https://www.holidify.com/places/gandikota,,1,0,0,0,0,0,0,0,0,1,https://images.newindianexpress.com/uploads/user/imagelibrary/2020/1/11/w1200X800/All_set_for-Gandikota.jpg
Anantapur,Historical & Heritage,Andhra Pradesh,1,1,https://www.holidify.com/places/anantapur,,1,0,0,0,0,0,0,0,0,0,https://jntuacea.ac.in/images/atp.jpg
Guntur,Historical & Heritage | Pilgrimage | City,Andhra Pradesh,1,1,https://www.holidify.com/places/guntur,,1,1,1,0,0,0,0,0,0,0,"https://res.cloudinary.com/dwzmsvp7f/image/fetch/q_75,f_auto,w_1316/http%3A%2F%2Fres.cloudinary.com%2Fdwzmsvp7f%2Fimage%2Fupload%2Fv1571729963%2Fiaj7ytoiiuaeoxm74q0m.jpg"
Kurnool,Historical & Heritage | City | Nature & Scenic,Andhra Pradesh,1,1,https://www.holidify.com/places/kurnool,,1,1,0,0,0,0,0,0,0,1,https://cdn.s3waas.gov.in/s37f24d240521d99071c93af3917215ef7/uploads/2018/02/2018022887-1024x924.jpg
Nellore,City,Andhra Pradesh,1,1,https://www.holidify.com/places/nellore,,0,1,0,0,0,0,0,0,0,0,https://www.ne.cab/package/upload/packages_images/1566465448_packages_images0.jpg
Rajahmundry,Nature & Scenic | Pilgrimage,Andhra Pradesh,1,1,https://www.holidify.com/places/rajahamundry,,0,0,1,0,0,0,0,0,0,1,https://cdn1.goibibo.com/voy_ing/t_fs/east-godavari-rajahmundry-14866471342o.jpeg
Jagdalpur,Historical & Heritage | Nature & Scenic | Waterfall,Chattisgarh,1,1,https://www.holidify.com/places/jagdalpur,,1,0,0,0,0,0,0,0,1,1,https://cdn1.goibibo.com/voy_ing/t_fs/bastar-jagdalpur-14840572862o.jpeg
Dantewada,Nature & Scenic,Chattisgarh,1,1,https://www.holidify.com/places/dantewada/,,0,0,0,0,0,0,0,0,0,1,https://cdn.s3waas.gov.in/s3556f391937dfd4398cbac35e050a2177/uploads/bfi_thumb/2018061054-olw8ny9at1nhzngr5rdwyom0govi1gl84sygk0qdfu.jpg
Raipur,Nature & Scenic | City | Wildlife | Waterfall,Chattisgarh,1,1,https://www.holidify.com/places/raipur,,0,1,0,0,0,0,0,1,1,1,https://media-exp1.licdn.com/dms/image/C511BAQEe4OzhpR6clw/company-background_10000/0/1576313706883?e=2159024400&v=beta&t=2Epu1bne_vCAxZut3OcwyLteqCPomJ3SVXdaiDOwb9w
Bhilai,Nature & Scenic | City,Chattisgarh,1,1,https://www.holidify.com/places/bhilai,,0,1,0,0,0,0,0,0,0,1,https://qph.fs.quoracdn.net/main-qimg-c3b7d921fd030234c9363115b2929620.webp
